,OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
"(0.75, 0.05, 5.5)",62.50930000000003,47.413799999999945,63.50110000000055,67.33650000000046
"(0.75, 0.05, 6.0)",61.64569999999995,47.11879999999994,63.05870000000056,66.65680000000053
"(0.75, 0.05, 6.5)",62.20540000000005,46.839499999999944,62.585300000000565,66.47160000000052
"(0.75, 0.05, 7.0)",61.22870000000001,45.72649999999996,62.550700000000546,66.44780000000053
"(0.75, 0.05, 7.5)",60.99479999999996,46.30939999999996,62.484900000000536,66.17830000000052
"(0.75, 0.05, 8.0)",59.88979999999988,46.421199999999956,62.49690000000054,66.00770000000051
"(0.75, 0.05, 8.5)",60.04649999999998,47.557499999999976,62.396800000000525,65.78090000000051
"(0.75, 0.05, 9.0)",58.51930000000011,47.16359999999998,62.222400000000526,65.87310000000052
"(0.75, 0.05, 9.5)",59.01320000000005,45.91369999999999,62.129400000000516,65.6732000000005
"(0.75, 0.1, 1.0)",47.7823,45.715199999999975,81.31930000000007,87.82520000000024
"(0.75, 0.1, 1.5)",52.69349999999996,42.3125,81.57700000000008,86.37490000000021
"(0.75, 0.1, 2.0)",55.4208,38.66640000000003,80.4865000000001,85.0082000000002
"(0.75, 0.1, 2.5)",57.08260000000001,37.41979999999998,79.04830000000021,83.70260000000027
"(0.75, 0.1, 3.0)",56.413799999999966,36.427699999999945,77.14910000000015,82.60140000000014
"(0.75, 0.1, 3.5)",56.27830000000002,35.44119999999993,75.74010000000014,82.34660000000021
"(0.75, 0.1, 4.0)",55.30859999999994,35.780099999999955,73.10000000000029,81.20190000000028
"(0.75, 0.1, 4.5)",55.57750000000002,35.587299999999914,72.40450000000035,80.88030000000022
"(0.75, 0.1, 5.0)",56.46620000000007,35.00459999999988,70.96580000000041,80.33100000000019
"(0.75, 0.1, 5.5)",55.73729999999997,34.809799999999875,69.44640000000047,80.12620000000025
"(0.75, 0.1, 6.0)",55.411399999999944,35.39379999999993,69.01670000000057,79.33530000000029
"(0.75, 0.1, 6.5)",53.76999999999989,34.70329999999991,68.12670000000047,79.59500000000031
"(0.75, 0.1, 7.0)",53.673999999999836,34.61429999999991,66.92950000000043,79.2205000000003
