,ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
"(0.75, 3.0)",422.9906,723.9033999999994
"(0.75, 3.5)",402.9789000000001,724.9660999999998
"(0.75, 4.0)",406.89609999999993,766.949
"(0.75, 4.5)",412.14340000000004,746.2143999999998
"(0.75, 5.0)",396.5705,756.5616
"(0.75, 5.5)",397.70449999999994,711.6753
"(0.75, 6.0)",421.14410000000004,757.3121000000003
"(0.75, 6.5)",442.97389999999996,719.6285999999999
"(0.75, 7.0)",432.56250000000006,755.177
"(0.75, 7.5)",427.6755999999998,754.3359999999999
"(0.75, 8.0)",446.9088000000001,764.9119999999999
"(0.75, 8.5)",430.54510000000005,783.4237999999999
"(0.75, 9.0)",432.63870000000026,747.4907000000001
"(0.75, 9.5)",426.99690000000004,736.0933999999999
"(0.8, 1.0)",532.6221000000002,868.7113
"(0.8, 1.5)",483.5536999999999,838.0156999999997
"(0.8, 2.0)",491.0990000000001,791.8571
"(0.8, 2.5)",421.8876,763.9441
"(0.8, 3.0)",393.0815999999999,719.4579
"(0.8, 3.5)",391.8080999999999,704.9751000000001
"(0.8, 4.0)",369.42229999999995,714.6905000000004
"(0.8, 4.5)",366.28860000000003,745.0335
"(0.8, 5.0)",368.87330000000003,776.1967999999999
"(0.8, 5.5)",367.9673,713.3591000000001
"(0.8, 6.0)",383.0364999999999,707.9489999999997
"(0.8, 6.5)",403.8618999999999,747.5283999999999
"(0.8, 7.0)",439.19070000000016,735.6871
"(0.8, 7.5)",414.39840000000015,747.0182
"(0.8, 8.0)",456.71059999999994,750.7683
"(0.8, 8.5)",472.8951999999999,721.2999000000001
"(0.8, 9.0)",442.4884,724.9599
"(0.8, 9.5)",443.62789999999995,762.3668999999996
"(0.85, 1.0)",518.8446999999996,879.9911999999995
"(0.85, 1.5)",437.33180000000027,843.9997000000002
"(0.85, 2.0)",453.03619999999995,788.9229
"(0.85, 2.5)",391.8123000000001,737.7818000000001
"(0.85, 3.0)",393.24580000000003,741.5323000000001
"(0.85, 3.5)",364.03669999999994,714.8736000000004
"(0.85, 4.0)",342.94390000000004,750.4121999999999
"(0.85, 4.5)",386.3984,713.3832000000002
"(0.85, 5.0)",349.95670000000007,728.4472999999999
"(0.85, 5.5)",364.0964999999999,753.0699000000002
"(0.85, 6.0)",360.65289999999993,699.837
"(0.85, 6.5)",376.27759999999995,724.4816999999997
"(0.85, 7.0)",423.80320000000006,753.984
"(0.85, 7.5)",425.54539999999974,760.2386999999997
"(0.85, 8.0)",508.50829999999985,745.9561999999999
"(0.85, 8.5)",459.3132,739.1321
"(0.85, 9.0)",474.67689999999993,697.5143999999997
"(0.85, 9.5)",464.81449999999995,683.9764000000001
"(0.9, 1.0)",496.115,894.0250000000003
"(0.9, 1.5)",442.7215,850.2928000000002
"(0.9, 2.0)",448.78249999999986,772.6282999999997
"(0.9, 2.5)",404.19460000000004,711.6671000000005
"(0.9, 3.0)",406.6653,717.4340000000003
"(0.9, 3.5)",322.1132,690.3831999999996
"(0.9, 4.0)",322.29740000000004,774.6406000000003
"(0.9, 4.5)",352.50040000000007,735.4056999999997
"(0.9, 5.0)",330.6811,710.2989999999999
"(0.9, 5.5)",330.5174,700.1298
"(0.9, 6.0)",367.74779999999987,694.2634000000002
"(0.9, 6.5)",383.54790000000014,733.6969
"(0.9, 7.0)",437.7517,704.9994999999999
"(0.9, 7.5)",476.28560000000004,694.1483000000004
"(0.9, 8.0)",488.5902999999997,682.4837999999999
"(0.9, 8.5)",507.64530000000013,666.5763999999998
"(0.9, 9.0)",498.44119999999987,623.9396999999999
"(0.9, 9.5)",454.31210000000016,619.7072999999998
"(0.95, 1.0)",525.6079000000001,878.3567999999998
