,ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
"(0.75, 2.0)",46168.14,83242.93999999999
"(0.75, 2.5)",46247.34999999998,75872.16000000002
"(0.75, 3.0)",42299.06,72390.34000000003
"(0.75, 3.5)",40297.88999999999,72496.61
"(0.75, 4.0)",40689.61,76694.90000000001
"(0.75, 4.5)",41214.33999999999,74621.44000000002
"(0.75, 5.0)",39657.05,75656.15999999999
"(0.75, 5.5)",39770.45000000001,71167.52999999998
"(0.75, 6.0)",42114.40999999997,75731.20999999999
"(0.75, 6.5)",44297.39000000002,71962.86000000002
"(0.75, 7.0)",43256.24999999999,75517.70000000004
"(0.75, 7.5)",42767.56,75433.6
"(0.75, 8.0)",44690.880000000005,76491.20000000003
"(0.75, 8.5)",43054.50999999999,78342.38000000003
"(0.75, 9.0)",43263.86999999999,74749.07000000002
"(0.75, 9.5)",42699.689999999995,73609.34
"(0.8, 1.0)",53262.21,86871.13
"(0.8, 1.5)",48355.36999999997,83801.56999999999
"(0.8, 2.0)",49109.899999999994,79185.70999999999
"(0.8, 2.5)",42188.76,76394.40999999997
"(0.8, 3.0)",39308.159999999996,71945.79000000002
"(0.8, 3.5)",39180.810000000005,70497.50999999998
"(0.8, 4.0)",36942.23000000001,71469.05000000002
"(0.8, 4.5)",36628.86,74503.35000000002
"(0.8, 5.0)",36887.33,77619.67999999998
"(0.8, 5.5)",36796.72999999999,71335.90999999997
"(0.8, 6.0)",38303.650000000016,70794.9
"(0.8, 6.5)",40386.189999999995,74752.83999999995
"(0.8, 7.0)",43919.07,73568.70999999998
"(0.8, 7.5)",41439.840000000004,74701.82
"(0.8, 8.0)",45671.05999999999,75076.83
"(0.8, 8.5)",47289.52,72129.98999999999
"(0.8, 9.0)",44248.84000000002,72495.98999999998
"(0.8, 9.5)",44362.78999999999,76236.68999999999
"(0.85, 1.0)",51884.470000000016,87999.12000000004
"(0.85, 1.5)",43733.18,84399.97000000002
"(0.85, 2.0)",45303.61999999999,78892.29
"(0.85, 2.5)",39181.23000000001,73778.18
"(0.85, 3.0)",39324.58,74153.23
"(0.85, 3.5)",36403.67,71487.36
"(0.85, 4.0)",34294.39,75041.21999999997
"(0.85, 4.5)",38639.840000000004,71338.32
