,OpALStar/BanditTaskSmallSparse,OpALPlus/BanditTaskSmallSparse,OpALStar/BanditTaskSmallRich,OpALPlus/BanditTaskSmallRich,OpALStar/GridWorld3x1Sparse,OpALPlus/GridWorld3x1Sparse,OpALStar/GridWorld3x1Rich,OpALPlus/GridWorld3x1Rich,OpALStar/GridWorld3x2Sparse,OpALPlus/GridWorld3x2Sparse,OpALStar/GridWorld3x2Rich,OpALPlus/GridWorld3x2Rich
"(0.95, 0.1, 2.5, 0.97)",64.29650000000004,66.39250000000001,49.9935,49.9935,60.20904999999996,59.43714999999996,55.98799999999999,55.98799999999999,52.479299999999974,52.501250000000006,52.740250000000046,52.893950000000046
"(0.95, 0.1, 2.5, 0.98)",64.78450000000002,65.40000000000002,49.9935,49.9935,60.698799999999956,58.459999999999965,55.98799999999999,55.98799999999999,53.277049999999974,53.70059999999997,51.92335000000003,52.09195000000003
"(0.95, 0.1, 2.5, 0.99)",64.76300000000003,65.3995,50.493,50.493,60.56299999999994,60.44409999999998,55.98949999999999,55.98949999999999,52.34855000000001,52.39489999999998,53.16405,51.66425000000001
"(0.95, 0.1, 3.0, 0.95)",68.15900000000002,67.39250000000001,48.995000000000005,48.995000000000005,59.71939999999997,58.95644999999999,57.48849999999999,57.48849999999999,55.07240000000003,53.43990000000001,54.75380000000002,54.539500000000004
"(0.95, 0.1, 3.0, 0.96)",66.17200000000003,66.40100000000001,48.995000000000005,48.995000000000005,56.74449999999996,58.46094999999997,56.98799999999999,56.98799999999999,54.46375000000002,53.71415,55.00135000000003,54.919500000000035
"(0.95, 0.1, 3.0, 0.97)",65.67250000000003,65.90350000000002,49.4945,49.4945,60.214499999999965,59.444649999999974,56.48899999999999,56.48899999999999,51.20204999999999,49.76805000000002,54.524800000000006,53.846050000000005
"(0.95, 0.1, 3.0, 0.98)",66.16500000000003,65.40350000000002,49.994,49.994,59.221499999999956,58.94259999999996,55.4905,55.4905,52.131450000000015,50.117300000000036,51.49274999999999,50.97310000000001
"(0.95, 0.1, 3.0, 0.99)",66.16500000000002,65.90200000000003,49.994,49.994,60.96674999999995,59.44214999999997,55.4905,55.4905,52.866050000000016,50.31860000000004,51.96615000000003,52.86345000000003
"(0.95, 0.1, 3.5, 0.95)",67.15850000000002,65.90600000000002,48.4965,48.4965,58.73684999999995,60.43784999999996,55.491499999999995,55.491499999999995,51.86940000000001,51.9058,54.47090000000003,53.226450000000035
"(0.95, 0.1, 3.5, 0.96)",67.65750000000003,66.90150000000001,48.4965,48.4965,56.26214999999996,59.43984999999997,56.49099999999999,56.49099999999999,54.33215000000003,51.85050000000001,54.18470000000002,53.51205000000003
"(0.95, 0.1, 3.5, 0.97)",66.16800000000002,66.40150000000003,48.996,48.996,60.202399999999955,59.45079999999996,56.49049999999999,56.49049999999999,53.399000000000015,51.84945000000002,53.00965000000002,53.97010000000003
"(0.95, 0.1, 3.5, 0.98)",65.66250000000004,65.40600000000002,49.4955,49.4955,58.215549999999965,59.44324999999996,55.98999999999999,55.98999999999999,50.54489999999998,52.4946,55.02795000000003,56.47360000000005
"(0.95, 0.1, 3.5, 0.99)",65.66700000000003,65.40650000000004,49.4955,49.4955,61.20599999999994,58.95174999999996,54.991499999999995,54.991499999999995,52.435300000000026,52.36229999999998,51.299300000000045,53.45980000000006
"(0.95, 0.1, 4.0, 0.95)",66.92450000000002,66.903,48.4965,48.4965,62.72949999999994,59.44584999999997,54.49199999999999,54.49199999999999,52.50290000000003,53.88159999999998,52.762350000000026,53.795050000000046
"(0.95, 0.1, 4.0, 0.96)",67.91700000000002,66.90350000000002,48.4965,48.4965,56.98349999999994,58.46189999999997,55.491499999999995,55.491499999999995,50.17470000000001,51.464599999999976,55.12620000000003,56.34570000000005
"(0.95, 0.1, 4.0, 0.97)",66.42450000000002,66.90100000000002,48.4965,48.4965,59.94909999999996,57.96229999999996,55.99099999999999,55.99099999999999,52.681550000000044,52.1115,55.43950000000001,57.73495000000004
"(0.95, 0.1, 4.0, 0.98)",65.92000000000003,66.40150000000003,48.996,48.996,59.93644999999995,58.943049999999964,56.49049999999999,56.49049999999999,52.05695000000003,52.1711,54.23830000000002,57.09900000000004
"(0.95, 0.1, 4.0, 0.99)",65.91800000000002,66.40200000000003,49.4955,49.4955,60.433399999999956,58.44669999999998,55.98999999999999,55.98999999999999,51.65055,52.03130000000002,53.5108,54.11285000000001
"(0.95, 0.1, 4.5, 0.95)",67.42350000000002,66.90400000000002,47.997,47.997,62.43599999999995,58.965049999999984,54.4925,54.4925,53.05085000000004,53.913500000000006,50.411399999999986,54.716900000000024
"(0.95, 0.1, 4.5, 0.96)",66.92500000000003,66.40700000000002,47.997,47.997,62.93504999999994,59.45134999999998,54.492999999999995,54.492999999999995,53.706150000000015,53.92335,53.810150000000014,57.50600000000003
"(0.95, 0.1, 4.5, 0.97)",67.42050000000002,67.40350000000002,47.997,47.997,57.963999999999956,57.96239999999997,54.49199999999999,54.49199999999999,52.019350000000024,56.24270000000001,54.19070000000001,56.84520000000002
"(0.95, 0.1, 4.5, 0.98)",65.92450000000002,66.90350000000004,48.4965,48.4965,59.93804999999995,57.96029999999997,55.49149999999999,55.49149999999999,50.29820000000001,48.87955000000003,54.56329999999999,55.657999999999994
"(0.95, 0.1, 4.5, 0.99)",65.91950000000003,66.40300000000003,48.995999999999995,48.995999999999995,60.44544999999995,58.948699999999974,55.99049999999999,55.99049999999999,55.56070000000002,52.38420000000003,54.02775000000002,56.222600000000014
"(0.95, 0.1, 5.0, 0.95)",66.43050000000001,66.90500000000003,47.4975,47.4975,61.94144999999997,57.95599999999996,53.49400000000001,53.9925,52.04905000000002,53.52470000000001,52.7474,55.84925000000002
"(0.95, 0.1, 5.0, 0.96)",66.92500000000003,66.40750000000001,47.997,47.997,62.425999999999966,59.44629999999997,53.49400000000001,53.9925,52.996600000000015,54.18300000000002,50.83284999999998,55.307750000000006
"(0.95, 0.1, 5.0, 0.97)",68.418,67.40400000000002,47.997,47.997,59.965049999999955,60.43814999999995,54.99249999999999,54.99249999999999,53.30425,52.903600000000004,52.30764999999998,55.42644999999999
"(0.95, 0.1, 5.0, 0.98)",65.93050000000002,66.90350000000004,48.4965,48.4965,63.92504999999995,58.958349999999975,54.49199999999999,54.49199999999999,49.60000000000003,51.7273,54.50364999999998,55.35619999999999
"(0.95, 0.1, 5.0, 0.99)",65.92050000000002,66.40300000000003,48.995999999999995,48.995999999999995,61.932049999999954,57.95219999999997,55.49149999999999,55.49149999999999,53.04245,50.33500000000003,55.79219999999999,56.175499999999985
"(0.95, 0.1, 5.5, 0.95)",66.93000000000002,67.40500000000002,47.4975,47.4975,65.40779999999997,59.44244999999997,53.494,53.494,54.08215,55.23434999999998,51.234749999999984,54.25275000000001
"(0.95, 0.1, 5.5, 0.96)",67.42350000000002,65.92100000000002,47.997,47.997,63.42599999999997,57.95944999999997,54.4935,54.4935,51.04950000000002,52.485949999999995,51.791299999999985,55.903949999999995
"(0.95, 0.1, 5.5, 0.97)",67.91850000000002,66.41900000000003,47.997,47.997,61.94794999999997,60.930599999999956,53.4945,53.992999999999995,52.39374999999998,54.6023,51.85579999999998,55.70884999999998
"(0.95, 0.1, 5.5, 0.98)",66.42650000000002,66.41700000000003,47.997,47.997,63.43594999999996,59.459849999999946,54.49399999999999,54.99249999999999,52.255499999999984,53.276449999999976,52.16509999999999,53.323499999999996
